session,seed_hi,seed_lo,oracle,field,value
0,5804324778938164393,17202553440476190984,client_eval,canvas_hash,214751720
0,5804324778938164393,17202553440476190984,client_eval,canvas_len,4934
0,5804324778938164393,17202553440476190984,client_eval,ua,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
0,5804324778938164393,17202553440476190984,client_eval,platform,Win32
0,5804324778938164393,17202553440476190984,client_eval,tz,Asia/Ho_Chi_Minh
1,276400687034743594,6891087205557654602,client_eval,canvas_hash,214751720
1,276400687034743594,6891087205557654602,client_eval,canvas_len,4934
1,276400687034743594,6891087205557654602,client_eval,ua,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:148.0) Gecko/20100101 Firefox/148.0
1,276400687034743594,6891087205557654602,client_eval,platform,Win32
1,276400687034743594,6891087205557654602,client_eval,tz,Asia/Ho_Chi_Minh
2,7454500336856852755,18122405962340621305,client_eval,canvas_hash,1427016845
2,7454500336856852755,18122405962340621305,client_eval,canvas_len,4990
2,7454500336856852755,18122405962340621305,client_eval,ua,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20100101 Firefox/133.0
2,7454500336856852755,18122405962340621305,client_eval,platform,Win32
2,7454500336856852755,18122405962340621305,client_eval,tz,Asia/Ho_Chi_Minh
3,1421819720630399376,4739131568875519587,client_eval,canvas_hash,4236389474
3,1421819720630399376,4739131568875519587,client_eval,canvas_len,4966
3,1421819720630399376,4739131568875519587,client_eval,ua,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:148.0) Gecko/20100101 Firefox/148.0
3,1421819720630399376,4739131568875519587,client_eval,platform,Win32
3,1421819720630399376,4739131568875519587,client_eval,tz,Asia/Ho_Chi_Minh
4,12002181819466351127,860738844901555586,client_eval,canvas_hash,1427016845
4,12002181819466351127,860738844901555586,client_eval,canvas_len,4990
4,12002181819466351127,860738844901555586,client_eval,ua,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:148.0) Gecko/20100101 Firefox/148.0
4,12002181819466351127,860738844901555586,client_eval,platform,Win32
4,12002181819466351127,860738844901555586,client_eval,tz,Asia/Ho_Chi_Minh
